a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
submatrix	n次矩阵
submaxilary	n下颚;下颚骨;颚下腺
submerge	v.使…浸水;潜入水里;使…陷入
submergence	n下沈;下潜;淹没
submersed	adj.生长水中的
submersible	adj.能沈入水中的;能潜水的
submission	n服从;柔和
submissive	adj.服从的;顺从的;柔顺的
submit	v.使服从;屈服;委托
submontane	adj.在山麓的;山下的
submultiple	n约数
subnanosecond	n小於10
subnormal	adj.正常以下的;普通以下的;低能的
suborder	n亚目
subordinate	n属下;附属物;adj.下级的;次要的;附属的;v.使…居下位;使…服从
subordination	n放置在下级;使隶属;看不起
subordinative	adj.从属的;表示从属关系的
suborn	v.使作虚伪誓约;怂拥;收买
suboxide	n低值氧化物
subpanel	n次屏板
subplot	n陪衬情节
subpoena	n传票;v.传审;唤审
subpolar	adj.近极的;靠近北极或南极的
subprefect	n副县长;郡长;代理警察局长
subprior	n修道院副院长
subprogram	n副程式
subregion	n亚区
subreption	n隐匿事实;歪曲事实;作虚伪的申辩
subrogation	n代位;代位偿清;更替
subroutine	n副常式
subschema	n次纲目
subscribe	v.捐献;赞成
subscriber	n签署者;捐献者;订户
subscript	n写在底下的数字;adj.写在底下的
subscription	n捐献;订金;订阅
subsection	n小部份;小单位;细分
subsequent	adj.後来的;并发的
subsequently	adv.後来;随後
subserve	v.对…有用;对…有帮助;对…有益
subservient	adj.有帮助的;有用的;奉承的
subset	n子集
subside	v.沈;平息
subsidence	n沈淀;下沈;陷没
subsidiary	n子公司;附加物;adj.补助的;次要的;津贴的
subsidiary bank	n分行
subsidise	v.消退;下沉;平息
subsidize	v.给与补助金;给与奖助金;贿赂
subsidy	n补助金;津贴
subsist	v.供给食物;活下去;生存
subsistence	n生存;生活
subsistent	adj.实际存在的;现实的
subsoil	n下层土;底土;v.掘起…的底土
subsonic	adj.比音速稍慢的;次音速的
subspecies	n亚种
substaintial	adj.实在的;本质的;重要的
substance	n物质;资产;本质
substandard	adj.标准以下的;不合规格的
substantial	n重要部份;本质;adj.实质上的;有内容的
substantiality	n实质性;实在性;实体
substantially	adv.实质上;本质上;大体上
substantiate	v.实体化;证实
substantiation	n实体化;证实;证明
substantival	adj.实词的;名词的
substantive	n实词;实名词;adj.表示实在的;有实质的;独立的
substation	n分局;分台;分所
substep	n次步
substituent	n取代
substitute	n代理;代理人;代用品;v.替换;当代理
substitution	n替换;代理;交换
substitutional	adj.代理的;代用的;取代的
substitutive	adj.代理的;代用的;可取代的
substrate	n基体
substratosphere	n亚同温层
substructure	n底部构造;基础工事;基础
subsynchronous	n副同步
subsystem	n次要系统;次系统
subtangent	n次切距
subteen	n大约十三岁左右的孩童
subtemperate	adj.次温带的
subtenancy	n转借
subtenant	n转借者
subtense	n弦;对边
subterfuge	n遁辞;藉口;托辞
subterranean	adj.地下的;密秘的;在地下活动的;隐藏的
subtitle	n副题(书本中的);说明或对白的字幕
subtle	adj.敏感的;精细的;狡猾的
subtleties	n敏锐;微妙;阴险
subtlety	n精妙;明敏
subtly	adv.敏锐地;巧妙地;精细地
subtonic	n第七音
subtotal	nv.小计
subtotalled	v.部份总计
subtract	v.减去;扣掉;减少
subtracter	n减去者;减少者;扣除者
subtraction	n减法;扣除
subtractive	adj.减去的;有负号的;负的
subtractor	n减法器;消减器
subtrahend	n减数
subtranient	n次暂态
subtropical	adj.亚热带的
subtropics	n亚热带地方
suburb	n市郊;郊区
suburban	adj.市郊的;郊区的
subvariety	n亚变种
subvention	n补助金;津贴
subversion	n颠覆;打倒;破坏
subversive	n破坏份子;危险份子;adj.从事颠覆的;破坏性的
subvert	v.推翻;颠覆;毁灭
subvertical	adj.相当垂直的
subway	n地下铁道;v.乘坐地下铁路
subworker	n帮手
succade	n蜜饯果实
succedaneum	n代用;代用药;代理者
succeed	v.成功;继承;继续
succentor	n唱诗班副指挥;唱诗班的低音主唱者
success	n成功;成就
successful	adj.成功的;一帆风顺的;飞黄腾达的
successfully	adv.成功的;成绩好的;及格的
success has many friends	n成功者朋友多多
succession	n连续;继承权;继位
successional	adj.接连着的;连续性的
successive	adj.连续的;继承的
successively	adv.接连，挨次，相继，陆续
successor	n继承者;接任者
succinct	adj.简洁的
succor	n救援;援助者
succory	n菊苣
succotash	n豆煮玉米
succubus	n女妖
succulent	adj.多汁的;多水份的;多汁性的
succumb	v.屈从;死
such	adj.如此的;这样的
suchandsuch	adj.如此这般的;这样那样的;某某的
such kind of	adj.这种
such that	conj.以致於
suck	v.吸;吸入
sucker	n吸管;乳儿
sucking	adj.吸奶的;授乳的;尚未断奶的;v.吸;吸食;卷入
suckle	v.哺乳;养育
suckout	n吸出
sucre	n厄瓜多尔的货币
sucrose	n蔗糖
suction	n吸;吸入;吸上
suctorial	adj.会吸住的;适於吸的;有吸盘的
sudan	n苏丹
sudatorium	n发汗室
sudatory	n发汗药;发汗室;adj.促进发汗的
sudd	n浮游植物堆
sudden	n突然;忽然;adj.突然的;快速的
suddenly	adv.意外地;忽然
sudoriferous	adj.分泌汗的;发汗的
sudorific	n发汗药;adj.使发汗的;促使发汗的
sudsy	adj.肥皂一般的;起着泡沫的
sue	n苏
suet	n牛脂;羊脂
suety	adj.牛脂一样的
suffer	v.遭受;经验;忍受
sufferable	adj.可容忍的;可忍耐的;可忍受得了的
sufferance	n容许;默认;默许
sufferer	n受难者;被害者;患者
suffering	n苦楚;受难;v.蒙受;受苦
suffice	v.足够;使…满足;合格
sufficiency	n充分;充分的数量;足够的资力
sufficient	adj.充份的;足够的
suffix	n字尾
suffocate	v.使室息;噎住
suffocation	n窒息
suffocative	adj.喘不过气的;令人窒息的
suffragan	n副监督;副主教;辅佐司教;adj.补助的;副的;副监督的
suffrage	n投票;选举权;参政权
suffragette	n妇女参政权论者
suffragist	n参政权扩大论者;妇女政权论者
suffuse	v.遍布…;弥漫;充满
suffusion	n充满;弥漫;满布
sugar	n糖;甜言蜜语;v.加糖变甜;变成糖
sugarcane	n甘蔗;糖蔗
sugarcoat	n糖衣;v.裹以糖衣;使…显得更可爱
sugarhouse	n制糖厂;炼糖厂
sugariness	n糖质;甘味;像砂糖
sugarloaf	n棒状糖;圆锥形的帽子;研钵状的山
sugarplum	n糖果;一种糖球
sugarrefinery	n糖厂
sugary	adj.含糖的;糖一般的;甜的
suggest	v.提议;建议;促成
suggestibility	n可教唆;被暗示性;暗示感受性
suggestible	adj.耳根软的;可提议的;容易受暗示而动的
suggestion	n提议;意见
suggestive	adj.提示性的;影射的;暗示的
suicidal	adj.自杀的;自杀性的;自我毁灭的
suicide	n自杀;自杀者;v.自杀
suit	n套装;诉讼;请求;v.适合;取悦;满足
suitability	n适合;适当;适合与否
suitable	adj.适当的;相配的
suitably	adv.合适地;适当地;相配地
suitcase	n手提箱
suite	n随员;套房;一组
suited	adj.适合的;v.适合於;和…相配;[vbl.]适合;和…相配
suiting	n西装料
suitor	n起诉者;请愿者;求婚者
sulcate	adj.有沟的
sulfating	n硫酸化
sulfation	n硫酸化
sulfide	n硫化物
sulfite	n亚硫酸盐
sulfonal	n索佛拿
sulfonamide	n硫安类药剂
sulfonic	adj.酸性硫酸基的
sulfur	n硫磺;硫
sulfureous	adj.硫磺的;硫磺质的;硫磺一般的
sulfuret	n硫化物
sulfuric	adj.硫磺的;硫酸的;含高度硫磺的
sulfuric acid	n硫磺酸
sulfury	adj.硫磺的
sulk	n闹情绪;快快不乐;v.不高兴;闷闷不乐;显露不悦貌
sulkily	adv.乖戾地;悻悻然;闷闷不乐地
sulkiness	n不高兴;闷闷不乐的样子
sulky	adj.不快乐的;别扭的;忧郁的
sullage	n残渣;淤泥
sullen	adj.愠怒的;郁郁不乐的;阴沉的
sully	n污点;脏污;v.沾污;弄脏;弄成无用
sulphide	n硫化物
sulphur	=sulfur
sultan	n回教君主;土耳其皇帝;鸡
sultanate	n回教君主的领地;回教君主的地位
sultaness	n回教国王妃;回教君主之母
sultrily	adv.闷热地;酷热地;粗暴地
sultriness	n闷热;焰热;纵情声色
sultry	adj.闷热的;粗暴的
sulvur	n硫;硫磺
sum	n总数;全部;概略;v.总计;概括;合计
sumless	adj.无数的;无数量的
summarily	adv.概要地;概略地;立刻
summarization	n摘要;概要
summarize	v.概述;摘要而言
summary	n摘要;概要;adj.摘要的;简略的
summation	n总和;和;合计
summed	v.总计
summer	n夏季
summerhouse	n凉亭;亭子
summerly	adj.夏的;夏天似的
summertime	n夏;夏季
summery	adj.夏的;夏天似的
summit	n顶;最高阶层
summon	v.召唤;召集;振奋
summoner	n召唤者;法院传票送达员
summons	n召唤;传唤;召集;v.传唤到法院;唤出;传到
sump	n污水坑;水坑;机油箱
sumpter	n拉货车的马或驴子;赶驮马的人
sumption	n大前提
sumptuary	adj.节省费用的;禁止奢侈的
sumptuous	adj.奢侈的;华丽的
sumptuously	adv.奢侈地;华丽地
sumptuousness	n奢侈;华丽
sun	n太阳;阳光
sunbaked	adj.晒乾的
sunbathe	n日光浴
sunbeam	n阳光
sunbird	n太阳鸟
sunblind	n窗檐
sunbonnet	n太阳帽
sunburn	n晒斑
sundae	n圣代
sunday	n星期日
sunder	v.切开;分离
sundew	n毛毡苔
sundial	n日规;日晷
sundown	n日落;[美]阔缘的女帽
sundried	adj.晒乾的
sundry	n杂物;杂事
sunfish	n翻车鱼;淡水产小鱼
sunflower	n向日葵
sung	pp.=song
sunglass	n太阳眼镜;聚集日光引火的凸透镜
sunglow	n朝霞;晚霞;日冕
sungod	n日神;太阳神
sunk	pp.=sink
sunlamp	n太阳灯
sunless	adj.阳光照射不到的;阴暗的
sunlight	n日光
sunlit	adj.被日光照射了的;阳光照射的
sunnily	adv.照着阳光;快活地
sunniness	n阳光照射;向阳极好的;活泼
sunny	adj.阳光充足的;辉耀的
sunproof	adj.不透日光的;耐光性的
sunrise	n日出;黎明;拂晓
sunroom	n日光浴室
sunset	n日落;晚年
sunshade	n遮阳伞;天棚;帽遮
sunshine	n阳光;光明;晴天;adj.愉快的;乐天的
sunshiny	adj.阳光照耀的;向阳极好的;晴朗的
sunspot	n太阳的黑点;雀斑
sunstone	n日长石
sunstroke	n中暑
sunstruck	adj.罹患中暑的
sunsuit	n日光浴装
suntan	n晒黑;卡其色军服
sunup	n日出
sunward	adv.朝着太阳
sunwards	adv.朝着太阳
sunwise	adv.和太阳移动同方向地;向右转地
sup	n一口;抑制栅;v.吸;进晚餐;体验
super	n不重要的角色;冗员;adj.上等的;表面的
superable	adj.可以胜过的;可征服的
superabound	v.足够有余;有余
superabundance	n多余;过多;剩余
superabundant	adj.过多的;有余的
superalloy	n超级耐热合金
superannuated	adj.年老的;老朽的;退休的;领退休金的;落伍的
superb	adj.堂堂的;华丽的
superbly	adv.堂堂地;壮丽地，华丽地;极好地，出色地
supercargo	n货物管理员
supercharge	v.过份给与;以增压器增强;发动机等之增压
supercharger	n增压器
superciliary	adj.眼睛上方的;眼脸上的;眉毛的
supercilious	adj.傲慢;自大
supercommutation	n超换向
supercomputer	n超级电脑
superconductive	adj.超传导现象的;超电导的
superconductivity	n超导性
superconductor	n超导体
superconuctivity	n超导电性
supercurrent	n超电流
superdominant	n上属音
superdreadnought	n超无畏级战舰
superduper	adj.极出色的;非常好的
superduralumin	n超级杜拉铝
superego	n超自我;上位自我
supereminent	adj.卓越的;极为出色的
supererogatory	adj.超出职责的;多余的;不必要的
superexcellence	n卓越;优秀;绝佳
superexcellent	adj.卓越的;优秀的;绝佳的
superexchange	n超交换
superexpress	adj.超特快的;超特快
superfamily	n超科
superfatted	adj.脂肪含量过多的
superficial	n表面;外表;adj.表面的;肤浅的;面积的
superficiality	n表面性的事物;肤浅;浅薄
superficially	adv.在表面上;肤浅地
superfilm	n特制影片
superfine	adj.过细的;微细的;极好的
superfluid	n超流体的
superfluity	n多余;过多;奢侈品;多余的东西
superfluous	adj.多余的;过剩的
supergroup	n超群
superheat	n过热;v.过热化;过热
superheater	n过热器
superheation	n过热
superhet	n超外差接收机的俚语
superhigh	adj.超高的
superhighway	n超级高速公路
superhuman	adj.超人的;人类能力所不能及的;属於神仙的
superimpose	v.重叠;加上去;双重;置於…之上
superincumbent	adj.横在上面的;在上面的;自上面的
superintend	v.指挥;管理;监督
superintendence	n指挥;管理;监督权
superintendency	n监督者的地位
superintendent	n监督人;管理人;所长
superior	n长者;高手;adj.上好的;出众的;高傲的
superiority	n优越;高傲
superiority complex	n[精神分析]优越错综
superlative	n最高级的言辞;极致;完璧;adj.最上的;无比的;过度的
superlattice	n超晶格
superline	n超行
superman	n超人;具有超人能力的人
supermarket	n超级市场
supermini	n超级迷你电脑
supernal	adj.天上的;神的;高的
supernatant	adj.浮在表面的
supernatural	adj.超自然的;神奇的
supernormal	adj.非凡的;异於寻常的
supernova	n超新星
supernumerary	n多余的人(物);临时雇员;名额以外的人;临时演员;adj.额外的;多余的;定数外的
supernutrition	n营养过多;滋养过多
superorganic	adj.超有机性的;形而上的;精神上的
superphosphate	n过磷酸盐;过磷酸石灰
superpose	v.放在上面;重叠
superposition	n重叠;叠合;重合
superpower	n超级强权;超功率
superradiance	n超幅射
superrefraction	n超折射
superregeneration	n超再生
supersaturate	v.使过度饱和
supersaturation	n过度饱和
superscript	n字角文字;adj.写在上面的
superscription	n标题;姓名住址;题名
supersede	v.代替;取代
superseded	v.替代;取代
supersensitive	adj.过敏的
supersession	n取代;更迭;废弃
supersonic	n超音频;adj.超音波的;超音速的
supersonics	n超音波学;超音学
supersound	n超音
superstate	n超大国;整体主义国家
superstition	n迷信
superstitious	adj.迷信的
superstitiously	adv.被迷信所支配者
superstratum	n上层
superstructure	n上部构造;建筑物;上层构造
supersubtle	adj.过於微妙的
supertanker	n超大型油轮;巨大型油轮
supervene	v.连续发生;并发;附加
supervise	v.监督;管理;指导
supervision	n管理;监督
supervisor	n管理者;舍监;监督者
supervisory	adj.管理的;监督的;管理人的
supervoltage	n超压
supine	n从动词衍生而成的名词;加上to的不定词;adj.向上仰的;仰卧的;懒散的;怠慢的
supper	n晚餐
supplant	v.排挤掉;取而代之;代替
supple	adj.柔软的;逢迎的;顺从的
supplejack	n熊柳属的植物;熊柳树枝制成的手杖
supplement	n补充物;增刊;v.补充;增补
supplemental	adj.补充的;追加的;补足的
supplementary	adj.补足的;补充的;追加的
suppleness	n易弯曲的;柔软的;顺从的
suppliance	n恳求;哀求
suppliant	n恳求者;哀求者;adj.恳求的;哀求的;哀求性的
supplicate	v.恳求;哀求;恳请
supplicatingly	adv.恳求似地
supplication	n恳求;哀求;祈愿
supplicator	n恳求者;哀求者;祈祷者
supplicatory	adj.恳求的;祈愿的
supplier	n供应者;供给国;承制厂商;供给的人
supply	n补给;供给;供尘;v.供应;供给;补给
supply line	n补给线
supplyvoltage	n供电电压
support	n支持;援助;架;v.支援;帮助;支持
supportability	n可支持;可忍耐;可忍受
supportable	adj.可支持的;可忍耐的;可援助的
supporter	n支持者;後盾;伴随者
supportless	adj.无支持者的;无支撑的
supposable	adj.可想像得到的
suppose	v.推想;假设;以为
supposed	adj.被想像的;假定的;传闻的
supposedly	adv.在想像上;恐怕
supposing	n假如;去…吧;不妨…吧
supposition	n想像;推测;推想
supposititious	adj.偷偷掉换的;冒充的;想像上的
supposititous	adj.假定的;想像的;假冒的;伪造的
suppositive	adj.想像的;假定的
suppository	n坐药
suppress	v.镇压;使…止住;禁止
suppressible	adj.可以压制的;可以抑制的;可隐藏的
suppression	n抑压;镇压;抑制
suppressive	adj.镇压的;抑压的;抑制的
suppressor	n抑制器
suppurate	v.生脓;化脓;流脓
suppuration	n生脓;化脓;流脓
suppurative	n化脓促进剂;吸脓药;adj.使化脓的;化脓性的;足使化脓的
supranational	adj.超国家的
supraorbital	adj.眼窝上的
suprarenal	n副肾;adj.肾脏上的;副肾的
supremacy	n至高;主权
supreme	n至高;霸权;adj.至高的;终极的;极端的
surah	n斜纹软绸
sural	adj.腓的
surbase	n腰饰;顶饰
surcease	n停止;v.中止;停止
surcharge	n装载过多;追课
surcingle	n肚带;法衣的带子;v.套上肚带;系上肚带
surd	n无理数;不尽根数;无声音;adj.无理数的;不尽根数的;无声的
sure	adj.确信;必然的;必定的;adv.当然;确实地;无疑地
surefire	adj.准不会有错的;确实的
surefooted	adj.脚踏实地的;踏实的;准没错的
surely	adv.当然;安全地;的确;一定
sureness	n确实;踏实;安全
surety	n保证人;保证;担保
surf	n海浪
surface	n表面;一边;平面;adj.表面的;肤浅的;v.使…成平面;被露出来;在表面工作
surface mail	n水陆路信件
surfacetoair	adj.地对空的
surface transportation	n地面运输
surfacing	n涂焊
surfboard	n冲浪板;以冲浪板滑水
surfboat	n狂风大浪时用的救生艇
surfcast	v.在海边垂钓
surfeit	n过食;v.使腻;吃过份
surfer	n乘冲浪板玩乐的人
surfing	n冲浪游戏
surfriding	n冲浪游戏
surfy	adj.浪涛多的;波涛多的;波涛汹涌的
surge	n巨涌;汹涌;澎湃;v.汹涌;澎湃
surgeon	n外科医生;军医;船上的医生
surgery	n外科手术;手术室
surgical	adj.外科的;外科医生的;手术上的
surlily	adv.使气地;不和蔼可亲地;粗鲁地
surliness	n不和蔼;粗鲁;险恶的天气
surly	adj.不和蔼的;板着面孔的;粗声暴气的
surmisable	adj.可以推测得出的;可以推量得出的
surmise	n推测;v.推测;臆测
surmount	v.战胜;超越
surmountable	adj.可战胜的;可克服的;可凌驾的
surmullet	n菲鱼儿鱼坚
surname	n姓;别号;v.呼以姓氏;加以绰号
surpass	v.超越;凌驾;胜过
surpass description	n笔墨所不能形容
surpassing	adj.胜过的;卓越的;优秀的;adv.优於;卓越地
surplice	n白色法衣;白袈裟
surplus	n剩余;过剩;adj.过剩的;剩余的
surplus funds	n剩余基金
surplus population	n过剩的人口
surprisal	n惊异;冷不防的打击
surprise	n惊讶;惊奇;v.使…惊讶
surprised	adj.感到惊讶的;v.感到惊讶
surprising	adj.令人惊讶的
surprisingly	adv.令人惊讶地
surrealism	n超现实主义
surrealist	n超现实主义者
surrealistic	adj.超现实主义的
surrebutter	n原告的第四次辩驳
surrejoinder	n原告的第三次辩驳
surrender	v.投降;让与
surreptitious	adj.秘密的;暗中的;偷偷摸摸的
surrive	v.残存;继续存在;生命较…为长
surrogate	n代理;代理人;代用品
surround	n周围;v.包围;环绕
surrounding	n环境;adj.周围的;v.围住
surveillance	n监视;监督;侦测
surveillant	n监视者;监督者
survey	n纵览;视察;测量;v.审视;视察;通盘考虑
surveying	n测量
survival	n留住生命;生存;残存
survive	v.生存;生还
survivor	n生还者;遗族;残存者
susan	n苏珊
susceptance	n电纳
susceptibility	n感受性;感情;磁化系数
susceptible	n易受影响者;易受感染者;adj.易受影响的;易感动的;容许
susceptibly	adv.容易感受地
susceptive	adj.感受性强的;易感的敏感的;承受的
suspect	n嫌疑犯;adj.令人怀疑的;不可信的;v.怀疑;猜想
suspectable	adj.有嫌疑的;可疑的;值得怀疑的
suspend	v.暂时中止;悬挂
suspender	n吊的人;袜吊;吊裤带
suspense	n悬疑;焦虑;悬念
suspensibility	n可悬挂;可中止;悬而不决
suspensible	adj.可悬吊的;可中止的;可悬而不决的
suspension	n中止;未决;悬挂
suspensive	adj.未决定的;可疑的;暧昧的
suspensory	n悬吊式;adj.悬吊的;支持的;暂时中止的
suspicion	n怀疑;觉察
suspicious	adj.可疑的;疑惧的;怀疑的
suspiration	n叹息
suspire	v.叹息;叹气;呼息
sustain	n持续;v.维持;承受;准许
sustainable	adj.足可支撑的;养得起的;可以忍受的
sustenance	n生计;食物
sutler	n军中小贩
sutra	n佛经;经典
suttee	n妻子的殉死
sutural	adj.缝口的;针脚的;缝合线的
suture	n缝合;缝合处;缝合用的线;v.缝合
suv	n.全称是Sport Utility Vehicle，即运动型多用途车，ZLy的最爱< font>
suzerain	n领主;庄主;宗主
suzerainty	n宗主权;领主的地位
svren	n汽笛;号笛;警报器
swab	n水刷
swabber	n负责打扫工作的船员;拖把;没有用的人
swage	n型铁;型砧;v.用型铁弄弯曲
swagger	n大摇大摆;吹牛;v.虚张声势吓人;大摇大摆
swaggeringly	adv.傲慢地
swaging	n挤粗法;锻造用作业之一种
swain	n[古诗]乡下青年;[戏]情人
swale	n沼泽地;低洼地
swallow	n燕子;吞咽;喉;v.咽;吞没;忍受
swallowtail	n燕子尾巴;燕尾服;燕尾形旗子的末端
swallowtailed	adj.燕尾状的
swam	v.游泳
swami	n阁下
swamp	n沼泽;湿地;v.淹没;陷於沼泽
swampy	adj.沼泽的;沼泽多的;湿地的
swan	n天鹅;歌星
swannery	n天鹅饲养人
swansdown	n天鹅的绒毛;用於做婴儿衣服的柔软的布料
swanskin	n天鹅皮;天鹅绒的一种
swanupping	n天鹅喙的标记赛会
swap	n以货易货;v.交换;替换
swaraj	n自治;独立
swarajist	n印度独立运动者
sward	n草地
swarf	n油污金属切屑
swarm	n群;大群;v.群集;聚集一块
swarthily	adv.黑黝黝地
swarthiness	n黑黝黝
swarthy	adj.黑黝黝的;浅黑的
swastika	n纳粹党所用的十字记号
swat	n用劲打击;长打;全垒打;v.用力打下去
swathe	n包紮用布;绷带;v.缠卷;绑;包紮;围住
swatter	n拍打的人;苍蝇拍;强打者
sway	n摇;影响力;支配;v.使摇动;支配;发挥威力
swear	v.发誓;宣誓;咒骂
swearword	n极不恭敬的话;坏话;咒骂
sweat	n汗;出汗;焦急;v.出汗;渗出;冒出水气
sweatband	n防汗带
sweatbox	n乾燥箱;狭窄独禁室
sweated	adj.低工资的
sweater	n毛衣;毛线衫;运动衫
sweatily	adv.汗流夹背地;流着汗
sweatiness	n发汗;出汗;汗流夹背
sweatshop	n剥削劳力的工厂
swede	n瑞典人
sweden	n瑞典
swedish	n瑞典人;瑞典语;adj.瑞典的;瑞典人的;瑞典语的
sweeny	n肌肉萎缩
sweep	n扫除;摆荡;范围;v.扫除;用手指弹;掠过
sweepback	n後掠角
sweeper	n清扫夫;扫刷
sweeping	n扫除;废屑;旋刮;adj.一扫而去的;凶猛的;广泛的;v.扫除;打扫
sweeplinearity	n拂掠线性
sweepstakes	n赌金的独得;赌金独得赛马;总赌金
sweet	n甜蜜;糖果;情人;adj.甜的;芳香的
sweet are the uses of adversity	n逆境也有其正面作用
sweetbread	n小牛;小羊的胰脏或胸腺
sweeten	v.使甜;变舒适;净化
sweetening	n把味道弄甜;使味道变甜美之物;甜的调味料
sweetheart	n情人;爱人;v.爱慕;求爱
sweetie	n情人;爱人;甜的糕饼类
sweeting	n苹果的一种;情人
sweetish	adj.有点甜的;有点美丽的
sweetly	adv.甜美地;香郁地;调子优美地
sweetmeat	n糖果;甜食;蜜饯
sweetness	n美味;芳香;美妙
sweetscented	adj.香郁的;香味好的;芳香的
sweetshop	n糖果店
sweetsop	n番荔枝;番荔枝的果实
sweettempered	adj.性情和蔼的
swell	n增大;隆起的部分;巨浪;adj.优秀的;上流的;v.增大;使…膨胀;积聚
swelldom	n赶时髦的人士;时髦的社会界;上流社会
swellfish	n河豚
swellish	adj.俏俊的;潇洒的
swellmobsman	n装成绅士模样的扒手
swelter	n闷热;v.闷热;被暑气所苦;汗流夹背
sweltering	adj.闷热的;炎热的;中暑
swept	v.清扫;扫除
sweptback	adj.向後倾斜的
swerve	n脱落;v.使脱开;歪向一旁
swift	n褐雨燕;adj.迅速的;快的;敏捷的;adv.迅速地;敏捷地
swiftfooted	adj.脚步快的
swiftly	adv.很快地;即刻
swiftness	n迅速;快
swig	n痛饮;牛饮;鲸饮;v.满满一口喝下;牛饮;大喝特喝
swim	n游泳;v.游泳;漂浮
swimmer	n游泳者
swimmeret	n游水器
swimming	n游水;目眩;v.游泳;泡
swimsuit	n游泳衣
swindle	v.诈取;诈骗;骗取;行诈骗人
swindler	n骗子
swine	n猪;卑鄙的家伙;贪心;贪婪者
swineherd	n养猪的人
swing	n摇摆;改变;冲力;v.摇摆;使…旋转;动摇
swingboat	n大型秋千
swinge	v.打;使劲打
swingeing	adj.激烈的;猛烈的;极大的
swinger	n赶时髦的人
swinging	n摆动
swingle	n打麻器;打壳用链迦的旋转部;v.用打麻器打
swinish	adj.猪的;猪一般的;卑鄙的
swink	n辛劳;辛苦;v.流着汗做工作;辛苦一番
swipe	n强打;用力挥击;v.强打;用力挥击;偷
swirl	n漩涡;涡状形;旋转器;v.使成漩涡;头晕
swish	n飕飕声;沙沙声;一挥;adj.潇洒的;俊俏的;v.发飕飕声;飕地一声响;飕地挥舞
swiss	n瑞士人;瑞士腔调;adj.瑞士的;瑞士风格的
switch	n开关;转度;甩动;v.转变;切换;摆动
switchback	n改变角度;在Z形路轨向原来的方向返驶
switchboard	n配电盘;接线总机;交换台
switchhit	v.左右两边都能打
switchhitter	n左右两边都能打的选手
switchman	n转辙员
switchover	n替换;转换
switchplate	n开关屏
switchyard	n调车场
switzerland	n瑞士
swivel	n转环;旋转轴承;旋转椅的台座;v.旋转;回旋
swivel chair	n转椅
swiveleye	n斜视
swizzle	n以甜酒为主的鸡尾酒的一种
swollen	adj.肿大的;水涨的;v.使变大;肿胀
swollenheaded	adj.自鸣得意的;得意忘形的
swoon	n昏晕;v.昏晕;着迷;渐渐消失
swoop	n俯冲;攫取;v.抓取;突然袭击
sword	n刀剑;战争;武力
swordbearer	n捧剑者
swordbill	n蜂鸟的一种
swordfish	n旗鱼
swordflag	n旗昌浦
swordplay	n剑术;击剑;针锋相对的争论
swordsman	n剑术家;剑客;军人
swordsmith	n打造刀剑的铁匠
sworn	pp.=swear
swot	n读书虫;辛苦的工作;用力地打;v.苦读;用力打下去
swounds	n愤慨，愤怒，惊愕之委婉誓语
sybarite	n奢侈逸乐之徒
sybaritic	adj.奢侈逸乐的;柔弱的;极其享受的
sycamine	n桑树之一种
sycamore	n[植]小无花果树;[英]枫树的一种;[美]筱悬木
sycee	n细丝银;纹银;银锭
sycophancy	n追随;奉承;谄媚
sycophant	n奉承者;谄媚者;追随者
sycophantic	adj.说奉承话的;阿谀的
sycosis	n须疮
sydney	n雪梨
syenite	n黑花岗石
syenitic	adj.黑花岗石
syllabary	n字音表;音节文字表
syllabic	n音节主音;adj.音节的
syllabically	adv.藉着音节;每音节每音节地;分成音节地
syllabicate	v.分成音节;读出各个音节
syllable	n音节;v.分成音节
syllabus	n摘要;课程表
syllepsis	n一语双叙法;兼用法;轭语法
sylleptic	adj.syllepsis的
syllogism	n三段论法;推论法;演绎
syllogistic	adj.三段论法的;演绎的;演绎性的
syllogistically	adv.演绎式地;三段论法式地
sylphlike	adj.窈窕的;空气精灵一般的
sylvatic	adj.栖息於森林的;森林中的动物所患的
symbiosis	n共栖;共同生活
symbiotic	adj.共栖的;共生的
symbol	n符号
symbolic	n代号;符号化;adj.象徵的;符号的
symbolism	n象徵;记号
symbolist	n记号使用者;象徵主义者;符号学者
symbolistic	adj.象徵主义的;象徵性的
symbolization	n象徵;记号表现
symbolize	v.象徵;用记号表现
symbology	n象徵学;象徵的使用
symbol， phonetic	n发音(声音)符号
symmetery	n对称;左右均衡;平衡
symmetric	(=-al)n对称;adj.对称的;均匀的;能以平衡
symmetrically	adv.相称性地;极均衡地;对称地
symmetrization	n使相称;使对称;使均衡
symmetrize	v.使相称;使均衡;使对称
symmetry	n对称;调和
sympathetic	n交感神经;容易感受的人;adj.有同情心的;合意的;赞成的
sympathetically	adv.怜悯地;同情着;感应着
sympathize	v.同情;同感
sympathizer	n同情者;同感者;同意者
sympathy	n同情;赞同;同感力
sympetalous	adj.合瓣的
symphonic	adj.交响乐的;交响性的;交响乐的
symphonious	adj.和音的;和谐的;调和的
symphony	n交响曲;交响乐
symphysis	n骨的瘉合;合生
symposium	n酒宴;讨论会;评论集
symptom	n症状;徵候
symptomatic	adj.具有徵候的;徵候的;根据徵候的
symptomatology	n徵候学;症候学
sympton	n徵兆;徵候;表徵
synaeresis	n合音
